attempt_id,time_taken,status_code
1,369,200
2,45,200
3,33,200
4,29,200
5,51,200
6,25,200
7,15,200
8,14,200
9,14,200
10,31,200
11,19,200
12,15,200
13,15,200
14,15,200
15,15,200
16,15,200
17,17,200
18,16,200
19,15,200
20,16,200
21,33,200
22,57,200
23,67,200
24,36,200
25,34,200
26,30,200
27,31,200
28,15,200
29,15,200
30,14,200
31,14,200
32,20,200
33,15,200
34,14,200
35,14,200
36,14,200
37,14,200
38,14,200
39,14,200
40,14,200
41,14,200
42,22,200
43,27,200
44,23,200
45,15,200
46,14,200
47,14,200
48,14,200
49,14,200
50,14,200
51,14,200
52,14,200
53,14,200
54,14,200
55,14,200
56,14,200
57,14,200
58,14,200
59,14,200
60,17,200
61,37,200
62,16,200
63,14,200
64,14,200
65,14,200
66,14,200
67,14,200
68,14,200
69,14,200
70,14,200
71,14,200
72,14,200
73,20,200
74,16,200
75,18,200
76,14,200
77,27,200
78,14,200
79,62,200
80,16,200
81,14,200
82,14,200
83,14,200
84,14,200
85,14,200
86,14,200
87,14,200
88,14,200
89,21,200
90,15,200
91,14,200
92,14,200
93,14,200
94,20,200
95,14,200
96,14,200
97,14,200
98,14,200
99,19,200
100,14,200
